LOCATION,Country,FREQUENCY,CPI Index,TIME,1Y Inflation,5Y Inflation,20Y Inflation
GRC,Greece,M,68.57668,1999-08-31,0.019798097563623163,0.05754614619873477,0.15057230843450542
GRC,Greece,M,69.90322,1999-09-30,0.020232362906935863,0.056055748913075965,0.15048831999090329
GRC,Greece,M,70.09686,1999-10-31,0.022497260211828518,0.05468761719422233,0.14891398730531957
GRC,Greece,M,70.27604,1999-11-30,0.025923846993259225,0.05440186109034584,0.1479346427585564
GRC,Greece,M,70.72505,1999-12-31,0.02744410584533563,0.05289223124843634,0.14638327520419625
GRC,Greece,M,69.93342,2000-01-31,0.026305929873845058,0.05149631174454261,0.14388736239714883
GRC,Greece,M,69.78517,2000-02-29,0.029098107605486145,0.05154859894305397,0.14376599532021261
GRC,Greece,M,71.49325,2000-03-31,0.03144055499337939,0.05171376734905442,0.14335768715766672
GRC,Greece,M,71.83856,2000-04-30,0.025751973798251226,0.05051195519500529,0.14189782092478542
GRC,Greece,M,72.04763,2000-05-31,0.02927273667551522,0.04915485806304609,0.14133655016411528
GRC,Greece,M,71.77039,2000-06-30,0.025276053041497715,0.04721378466608783,0.13945697432783244
GRC,Greece,M,70.51872,2000-07-31,0.02738933911238184,0.046856991638747125,0.13915947966922504
GRC,Greece,M,70.62862,2000-08-31,0.029921833486252103,0.046897286299754315,0.13996192582515654
GRC,Greece,M,72.09966,2000-09-30,0.03142115627863773,0.04632287228272203,0.13971778788179479
GRC,Greece,M,72.922,2000-10-31,0.04030337450208177,0.0471257045810245,0.13875264514191832
GRC,Greece,M,73.2589,2000-11-30,0.042444907254307385,0.047271852800060854,0.13701058781708975
GRC,Greece,M,73.48741,2000-12-31,0.03905773131302137,0.04493823270068109,0.1352543898307137
GRC,Greece,M,72.31429,2001-01-31,0.0340448100493298,0.041686304749918524,0.1328852231969586
GRC,Greece,M,72.24261,2001-02-28,0.035214358580770266,0.04180724655514978,0.13221686268190824
GRC,Greece,M,73.65901,2001-03-31,0.030293209498798657,0.04023394081792753,0.13211151407850608
GRC,Greece,M,74.35207,2001-04-30,0.034988312683327694,0.040077523075916055,0.13146249479706884
GRC,Greece,M,74.66629,2001-05-31,0.03634623373454482,0.039207735321828086,0.1311208876828347
GRC,Greece,M,74.58658,2001-06-30,0.0392388838906963,0.03844633395680441,0.12973054070503376
GRC,Greece,M,73.28421,2001-07-31,0.03921639530609755,0.03844234707817629,0.12930139780008987
GRC,Greece,M,73.30228,2001-08-31,0.03785519241350044,0.03864855572050563,0.12988678839312828
GRC,Greece,M,74.70239,2001-09-30,0.0360990606613123,0.03777128099117699,0.12870374134796791
GRC,Greece,M,74.93904,2001-10-31,0.027660239708181544,0.036797365362238876,0.12743116838582247
GRC,Greece,M,75.01865,2001-11-30,0.02402097219586974,0.037149240131069794,0.12625265152805598
GRC,Greece,M,75.72512,2001-12-31,0.030450249913556826,0.03653528422694441,0.1255696154553898
